id,ra_deg,dec_deg,mag,name
alpha_ori,88.792939,7.407064,0.42,Betelgeuse
beta_ori,78.634467,-8.201638,0.13,Rigel
gamma_ori,81.282763,6.349703,1.64,Bellatrix
delta_ori,83.001667,-0.299095,2.23,Mintaka
epsilon_ori,84.053389,-1.201917,1.69,Alnilam
zeta_ori,85.189694,-1.942574,1.74,Alnitak
kappa_ori,86.939120,-9.669605,2.06,Saiph
lambda_ori,83.784490,9.934158,3.39,Meissa
alpha_cma,101.287155,-16.716116,-1.46,Sirius
alpha_cmi,114.825493,5.224993,0.34,Procyon
alpha_tau,68.980163,16.509302,0.85,Aldebaran
beta_tau,81.572971,28.607451,1.65,Elnath
alpha_aur,79.172328,45.997991,0.08,Capella
beta_gem,116.328958,28.026183,1.14,Pollux
alpha_gem,113.649428,31.888276,1.58,Castor
alpha_lep,83.182557,-17.822289,2.58,Arneb
beta_lep,82.061346,-20.759441,2.84,Nihal
alpha_col,84.912254,-34.074109,2.65,Phact
beta_eri,76.962642,-5.086446,2.78,Cursa
alpha_eri,24.428523,-57.236753,0.46,Achernar
alpha_uma,165.931965,61.751035,1.79,Dubhe
beta_uma,165.460319,56.382426,2.37,Merak
gamma_uma,178.457697,53.694760,2.44,Phecda
delta_uma,183.856503,57.032617,3.31,Megrez
epsilon_uma,193.507290,55.959823,1.77,Alioth
zeta_uma,200.981429,54.925362,2.23,Mizar
eta_uma,206.885157,49.313267,1.86,Alkaid
alpha_lyr,279.234735,38.783689,0.03,Vega
alpha_cyg,310.357980,45.280338,1.25,Deneb
alpha_aql,297.695827,8.868322,0.77,Altair
alpha_umi,37.954561,89.264109,1.98,Polaris
